Brand Name,Active Ingredient,Company
Revlimid,lenalidomide,Bristol Myers Squibb
Rituxan,rituximab,Roche / Biogen
Avastin,bevacizumab,Roche
Herceptin,trastuzumab,Roche
Gleevec,imatinib,Novartis
Lipitor,atorvastatin,Pfizer / Viatris
Plavix,clopidogrel,Sanofi / Bristol Myers Squibb
Advair,fluticasone/salmeterol,GSK
Crestor,rosuvastatin,AstraZeneca
Nexium,esomeprazole,AstraZeneca
Lexapro,escitalopram,Allergan / AbbVie
Abilify,aripiprazole,Otsuka
Cymbalta,duloxetine,Eli Lilly
Alimta,pemetrexed,Eli Lilly
Aubagio,teriflunomide,Sanofi
Bydureon,exenatide,AstraZeneca
Cabometyx,cabozantinib,Exelixis
Cerezyme,imiglucerase,Sanofi
Copaxone,glatiramer acetate,Teva
Aranesp,darbepoetin alfa,Amgen
Dexilant,dexlansoprazole,Takeda
Diovan,valsartan,Novartis
Erbitux,cetuximab,Eli Lilly / Merck KGaA
Faslodex,fulvestrant,AstraZeneca
Gilenya,fingolimod,Novartis
Ilaris,canakinumab,Novartis
Isentress,raltegravir,Merck & Co.
Janumet,sitagliptin/metformin,Merck & Co.
Kalydeco,ivacaftor,Vertex
Keppra,levetiracetam,UCB
Krystexxa,pegloticase,Horizon / Amgen
Kyprolis,carfilzomib,Amgen
Lemtrada,alemtuzumab,Sanofi
Lialda,mesalamine,Takeda
Linzess,linaclotide,AbbVie / Ironwood
Lovenox,enoxaparin,Sanofi
Lumigan,bimatoprost,AbbVie
Lyrica,pregabalin,Pfizer / Viatris
Opsumit,macitentan,Johnson & Johnson
Mirena,levonorgestrel,Bayer
Namenda,memantine,AbbVie
Neulasta,pegfilgrastim,Amgen
Neupogen,filgrastim,Amgen
Novolog,insulin aspart,Novo Nordisk
Nplate,romiplostim,Amgen
NuvaRing,etonogestrel/ethinyl estradiol,Merck & Co.
Omnitrope,somatropin,Sandoz
Onglyza,saxagliptin,AstraZeneca
Orenitram,treprostinil,United Therapeutics
Orkambi,lumacaftor/ivacaftor,Vertex
Precedex,dexmedetomidine,Pfizer
Prezista,darunavir,Johnson & Johnson
Pristiq,desvenlafaxine,Pfizer
Promacta,eltrombopag,Novartis
Pulmicort,budesonide,AstraZeneca
Qtern,dapagliflozin/saxagliptin,AstraZeneca
Rebif,interferon beta-1a,Merck KGaA
Remodulin,treprostinil,United Therapeutics
Restasis,cyclosporine ophthalmic,AbbVie
Rocephin,ceftriaxone,Roche
Sensipar,cinacalcet,Amgen
Seroquel,quetiapine,AstraZeneca
Viagra,sildenafil,Pfizer / Viatris
Singulair,montelukast,Merck & Co.
Somatuline,lanreotide,Ipsen
Stribild,elvitegravir/cobicistat/emtricitabine/tenofovir,Gilead
Suboxone,buprenorphine/naloxone,Indivior
Sutent,sunitinib,Pfizer
Symdeko,tezacaftor/ivacaftor,Vertex
Synagis,palivizumab,Sobi / AstraZeneca
Synthroid,levothyroxine,AbbVie
Tarceva,erlotinib,Roche
Tysabri,natalizumab,Biogen
Uloric,febuxostat,Takeda
Uptravi,selexipag,Johnson & Johnson
Valcyte,valganciclovir,Roche
Vascepa,icosapent ethyl,Amarin
Velcade,bortezomib,Takeda / J&J
Vesicare,solifenacin,Astellas
Viread,tenofovir disoproxil fumarate,Gilead
Vytorin,ezetimibe/simvastatin,Merck & Co.
Welchol,colesevelam,Daiichi Sankyo
Wellbutrin XL,bupropion,Bausch Health
Xeloda,capecitabine,Roche
Xifaxan,rifaximin,Bausch Health
Xolair,omalizumab,Novartis / Roche
Yasmin,drospirenone/ethinyl estradiol,Bayer
Zaltrap,ziv-aflibercept,Sanofi
Zepatier,elbasvir/grazoprevir,Merck & Co.
Zetia,ezetimibe,Merck & Co.
Zirabev,bevacizumab-bvzr,Pfizer
Zocor,simvastatin,Merck & Co.
Zofran,ondansetron,Novartis / GSK
Zoladex,goserelin,AstraZeneca
Zometa,zoledronic acid,Novartis
Zyvox,linezolid,Pfizer
Adderall XR,mixed amphetamine salts,Takeda
Byetta,exenatide,AstraZeneca
Cialis,tadalafil,Eli Lilly
Concerta,methylphenidate,Johnson & Johnson
